код,закупка,валюта,группа,подгруппа,наименование,описание,наличие,?
2578640,371000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-WX8750W,"Hitachi CP-WX8750W Проектор Hitachi CP-WX8750W (без объектива), 3LCD, WXGA, 1280x800, 7 500 Lm, контрастность 10000:1, HDBaseT, HDMI x2, Display port, портретная ориентация, вес 11.1 кг",,?
2578645,619000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-WX9210,"Hitachi CP-WX9210 Проектор Hitachi CP-WX9210 (без объектива), 1-chip DLP, WXGA, 1280x800, 8 500 Lm, контрастность 2500:1, HDBaseT, HDMI x2, вес 16.6 кг",,?
2578826,689500.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-WX9210-SD,"Hitachi CP-WX9210-SD Проектор Hitachi CP-WX9210 (со стандартным объективом), 1-chip DLP, WXGA, 1280x800, 8500 Lm, контрастность 2500:1, HDBaseT, HDMI x2, вес 16.6 кг",,?
2578507,44400.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-X3042WN,"Hitachi CP-X3042WN LCD, XGA, 1024x768, 3200 Lm, 10000:1, лампа 5000/10000 часов, TR 1.5-1.8, VGA x2, HDMI x2, композитный, компонентный, аудио mini jack, аудио RCA, USB (A) x2, USB (B), RS232, RJ45, MHL, 37/29 дБ, 3.1 кг, 320x85x245 мм, USB Display, Wi-fi (опция)",,?
2578509,60600.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-X30LWN,"Hitachi CP-X30LWN LCD, XGA, 1024x768, 3200 Lm, 10000:1, лампа 5000/10000 часов, TR 1.5-1.8, VGA x2, HDMI x2, композитный, компонентный, аудио mini jack, аудио RCA, USB (A) x2, USB (B), RS232, RJ45, MHL, 37/32 дБ, 3.3 кг, 325x95x245 мм, Wi-fi (опция)",****,?
2578511,58678.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-X4042WN,"Hitachi CP-X4042WN LCD, XGA, 1024x768, 4200 Lm, 10000:1, лампа 5000/10000 часов, TR 1.5-1.8, VGA x2, HDMI x2, композитный, компонентный, аудио mini jack, аудио RCA, USB (A) x2, USB (B), RS232, RJ45, MHL, 37/29 дБ, 3.1 кг, 320x85x245 мм, USB Display, Wi-fi (опция)",**,?
2578636,133900.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-X5022WN,"Hitachi CP-X5022WN LCD, XGA, 1024x768, 5000 Lm, 3000:1, лампа 3000/5000 часов, TR 1.5-2.5, VGA x2, HDMI, S-Video, композитный, компонентный, аудио mini jack, аудио RCA, USB (A) x2, USB (B), RS232, RJ45, 35/29 дБ, 4.7 кг, 401x103x318 мм, USB Display, Wi-fi (опция)",,?
2578630,151000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-X5550GF,"Hitachi CP-X5550GF Проектор Hitachi CP-X5550 (со стандартным объективом), 3LCD, XGA, 1024x768, 5 800 Lm, контрастность 10000:1, сшивка и коррекция геометрии, HDMI x2, вес 6.5 кг",,?
2578721,328028.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-X8800-ML,"Hitachi CP-X8800-ML Проектор Hitachi CP-X8800W (со стандартным объективом ML-713), 3LCD, XGA, 1024x768, 8 000 Lm, контрастность 10000:1, HDBaseT, HDMI x2, Display port, портретная ориентация, вес 11.1 кг",,?
2578637,288086.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-X8800W,"Hitachi CP-X8800W Проектор Hitachi CP-X8800W (без объектива), 3LCD, XGA, 1024x768, 8 000 Lm, контрастность 10000:1, HDBaseT, HDMI x2, Display port, портретная ориентация, вес 11.1 кг",****,?
